iter	Passed	Remaining
963	5609	209
964	5613	203
965	5617	197
966	5621	191
967	5624	185
968	5627	180
969	5630	174
970	5643	168
971	5650	162
972	5652	156
973	5653	150
974	5655	145
975	5665	139
976	5668	133
977	5677	127
978	5681	121
979	5683	115
980	5687	110
981	5695	104
982	5700	98
983	5702	92
984	5704	86
985	5708	81
986	5709	75
987	5711	69
988	5713	63
989	5726	57
990	5735	52
991	5737	46
992	5739	40
993	5741	34
994	5742	28
995	5744	23
996	5746	17
997	5754	11
998	5758	5
999	5761	0
